key,numeric_representation
೧|ಒಂದು|ಪ್ರಥಮ|ಪ್ರಥಮನೇ|ಪ್ರಥಮನೇ|ಒಕ್ಕ|ಮೊದಲು|ಮೊದಲ|ಒಕ್ಕನೇ|ಒಕ್ಕ|ಮೊದಲನೇ|ಪ್ರಥಮನೇ|ಪ್ರಥಮ|1
೨|ಎರಡು|ಎರಡನೇ|ಎರಡು|ಎರಡನೇ|ಡೊ|ಡೊಸರ|ಡೊಸರ|ಡೊಸ್ರ|ಡೊಸ್ರಿ|ಡೊಸ್ರೇ|ಡೊಸ್ರೆ|2
೩|ಮೂರು|ಮೂರನೇ|ಮೂರು|ಮೂರನೇ|ಟಿನ್|ಟೀನ್|ಟೀಸ್ರ|ಟಿಸ್ರ|ಟೀಸ್ರೇ|ಟಿಸ್ರೇ|ಟೀಸ್ರಿ|ಟಿಸ್ರಿ|3
೪|ನಾಲ್ಕು|ನಾಲ್ಕನೇ|ನಾಲ್ಕು|ನಾಲ್ಕನೇ|ಚರ್|ಚೌಥಿ|ಚೌಥ|ಚೌಥೇ|ಚೌಥ|ಚೌಥಿ|ಚೌಥಿ|4
೫|ಐದು|ಐದನೇ|ಐದು|ಐದನೇ|ಪಾಂಚ್|ಪಾಂಚವೀ|ಪಾಂಚವೀಂ|ಪಾಁಚವೀಂ|ಪಾಂಚವೀಂ|ಪಾಂಚವೀ|ಪಾಂಚ|ಪಾಁಚ|5
೬|ಆರು|ಆರನೇ|ಆರು|ಆರನೇ|ಛೆ|ಛಹ|ಛಟವೀ|ಛಠವೀ|ಛಠವೀಂ|ಛಟವಾ|ಛಠವಾ|ಛಠವಾಁ|ಛಟವೇ|ಛಠವೆ|ಛಠವೆ|6
೭|ಏಳು|ಏಳನೇ|ಏಳು|ಏಳನೇ|ಸಾತ್|ಸಾತವೀ|ಸಾತವೇ|ಸಾತವೆಂ|ಸಾತವೀಂ|ಸಾತವೀ|7
೮|ಎಂಟು|ಎಂಟನೇ|ಎಂಟು|ಎಂಟನೇ|ಆತ್|ಆಠವೀಂ|ಆಠವೀ|ಆಠವಾ|ಆಠವಾಂ|ಆಠವಾಁ|ಆಠವೇ|ಆಠವೆಂ|8
೯|ಒಂಬತ್ತು|ಒಂಬತ್ತನೇ|ಒಂಬತ್ತು|ಒಂಬತ್ತನೇ|ನೌ|ನವ|ನೌವಾ|ನೌವಾಂ|ನೌವಾಁ|ನೌವೇ|ನೌವೆ|ನೆಹಲ|ನಹಲ|ನೌಮಿ|ನೌವೀಂ|ನೌವೀ|9
೧೦|ಹತ್ತು|ಹತ್ತು|ಹತ್ತವೀಂ|ಹತ್ತವೀ|ಹತ್ತವಾ|ಹತ್ತವಾಂ|ಹತ್ತವೇ|ಹತ್ತವೆಂ|ಡಸ್|ದಸ|ದಸವಿ|ಡಸ್ವಿ|ದಸ್ವೆ|ಡಸ್ವೆ|ದಸ್ವ|ಡಸ್ವ|10
೧೧|ಹನ್ನೊಂದು|ಹನ್ನೊಂದನೇ|ಹನ್ನೊಂದು|ಹನ್ನೊಂದನೇ|ಗ್ಯಾರಹ್|ಗ್ಯಾರಾಹ್|ಗ್ಯಾರವಾಂ|ಗ್ಯಾರವಾಁ|ಗ್ಯಾರವೆ|ಗ್ಯಾರವೇ|11
೧೨|ಹನ್ನೆರಡು|ಹನ್ನೆರಡನೇ|ಹನ್ನೆರಡು|ಹನ್ನೆರಡನೇ|ಬಾರಹ್|ಬಾರವಾ|ಬಾರವಾಂ|ಬಾರವೀ|ಬಾರವೀಂ|ಬಾರಹ್ವೀಂ|ಬಾರಹ್ವೀ|12
೧೩|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|ಹದಿಮೂರು|ಹದಿಮೂರನೇ|ಟೆರಹ್|ಟೆರವಿ|ಟೆರಹ್ವಿ|13
೧೪|ಹದಿನಾಲ್ಕು|ಹದಿನಾಲ್ಕು|ಚೌದಹ್|ಚೌದಹ|14
೧೫|ಹದಿಮೂರು|ಹದಿಮೂರು|ಪಂದ್ರಹ್|ಪಂದ್ರ|15
೧೬|ಹದಿಮುವು|ಹದಿಮೂರು|ಸೋಲಹ್|ಸೋಲ|16
೧೭|ಹದಿಮೇಲು|ಹದಿಮೂರು|ಸತ್ರಹ್|ಸತ್ರ|17
೧೮|ಹದಿಮೂರು|ಹದಿಮೂರು|ಅಟಾಹ್|ಅಟಾ|18
೧೯|ಹದಿಮೂರು|ಉನ್ನೈಶ್|ಉನ್ನೈಶ್|19
೨೦|ಹದಿಮೂರು|ಬಿಶ್|ಬಿಶ್|20
೨೧|ಹದಿಮೂರು|ಇಕ್ಕೆಶ್|ಇಕ್ಕೇಷ್|21
೨೨|ಹದಿಮೂರು|ಬಾಯ್ಶ್|ಬಾಯ್ಷ್|22
೨೩|ಹದಿಮೂರು|ತೆಈಶ್|ತೇಶ್|23
೨೪|ಹದಿಮೂರು|ಚೌಬೀಶ್|ಚೌಬೀಶ್|24
೨೫|ಹದಿಮೂರು|ಪಚ್ಚೀಶ್|ಪಚ್ಚೀಶ್|25
೨೬|ಹದಿಮೂರು|ಛಬೀಶ್|ಛಬೀಶ್|26
೨೭|ಹದಿಮೂರು|ಸತ್ತಾಇಶ್|ಸತ್ತಾಇಶ್|27
೨೮|ಹದಿಮೂರು|ಅಠಾಇಶ್|ಅಠಾಇಶ್|28
೨೯|ಹದಿಮೂರು|ಉಂತೀಶ್|ಉಂತೀಶ್|29
೩೦|ಹದಿಮೂರು|ಟೀಶ್|ತೀಶ್|30
೩೧|ಹದಿಮೂರು|ಇಕ್ಕತೀಶ್|ಇಕ್ಕಾತಿಶ್|ಇಕ್ಕಾತಿಷ್|ಇಕ್ಕತೀಶ್|ಇಕ್ಕತೀಷ್|ಇಕ್ಕಟಿಶ್|ಇಕ್ಕಟಿಶ್|31
೧.೫|ಢೇಡ್|ಢೆಡ್|ढ़ेड|ಧೇಡ್|ಡೇಡ್|ಡೇಡ್|ಡೇಡ್|ಡೇಡ್|ಡೇಡ್|dedh|dhed|0.5
೨.೫|ಢಾಯಿ|ढ़ाई|ಧಾಯಿ|ಧಾಯಿ|dhaai|daai|2.5
